date,count
2021-01-01,937
2021-01-02,976
2021-01-03,1151
2021-01-04,1217
2021-01-05,1392
2021-01-06,1576
2021-01-07,1587
2021-01-08,1751
2021-01-09,2018
2021-01-10,1820
2021-01-11,1399
2021-01-12,1630
2021-01-13,1988
2021-01-14,2267
2021-01-15,2887
2021-01-16,3517
2021-01-17,2778
2021-01-18,1635
2021-01-19,1729
2021-01-20,2462
2021-01-21,3047
2021-01-22,3175
2021-01-23,4076
2021-01-24,4313
2021-01-25,2453
2021-01-26,1229
2021-01-27,1229
2021-01-28,9703
2021-01-29,22402
2021-01-30,24934
2021-01-31,16484
2021-02-01,9088
2021-02-02,15387
2021-02-03,23460
2021-02-04,17035
2021-02-05,9477
2021-02-06,9477
2021-02-07,9477
2021-02-08,4776
2021-02-09,1172
2021-02-10,2669
2021-02-11,3636
2021-02-12,4606
2021-02-13,4327
2021-02-14,3027
2021-02-15,2135
2021-02-16,2008
2021-02-17,1908
2021-02-18,1470
2021-02-19,2058
2021-02-20,3252
2021-02-21,3062
2021-02-22,2310
2021-02-23,2533
2021-02-24,2902
2021-02-25,2970
2021-02-26,3697
2021-02-27,3889
2021-02-28,2015
2021-03-01,609
2021-03-02,609
2021-03-03,1194
2021-03-04,2696
2021-03-05,3396
2021-03-06,1632
2021-03-07,83
2021-03-08,209
2021-03-09,1665
2021-03-10,4105
2021-03-11,5373
2021-03-12,5291
2021-03-13,4723
2021-03-14,3744
2021-03-15,3009
2021-03-16,3512
2021-03-17,4145
2021-03-18,3295
2021-03-19,2395
2021-03-20,2395
2021-03-21,2395
2021-03-22,2395
2021-03-23,2395
2021-03-24,2395
2021-03-25,2395
2021-03-26,2395
2021-03-27,2395
2021-03-28,1410
2021-03-29,1087
2021-03-30,2258
2021-03-31,2729
2021-04-01,2832
