date,count
2021-01-01,21.0
2021-01-02,31.0
2021-01-03,31.0
2021-01-04,20.0
2021-01-05,39.0
2021-01-06,32.0
2021-01-07,86.0
2021-01-08,28.0
2021-01-09,30.0
2021-01-10,18.0
2021-01-11,19.0
2021-01-12,43.0
2021-01-13,35.0
2021-01-14,23.0
2021-01-15,110.0
2021-01-16,63.0
2021-01-17,18.0
2021-01-18,16.0
2021-01-19,25.0
2021-01-20,33.0
2021-01-21,17.0
2021-01-22,23.0
2021-01-23,24.0
2021-01-24,12.0
2021-01-25,6.0
2021-01-26,6.0
2021-01-27,6.0
2021-01-28,229.0
2021-01-29,54.0
2021-01-30,55.0
2021-01-31,54.0
2021-02-01,35.0
2021-02-02,32.0
2021-02-03,35.0
2021-02-04,23.0
2021-02-05,23.0
2021-02-06,23.0
2021-02-07,23.0
2021-02-08,23.0
2021-02-09,21.0
2021-02-10,26.0
2021-02-11,344.0
2021-02-12,52.0
2021-02-13,35.0
2021-02-14,15.0
2021-02-15,12.0
2021-02-16,21.0
2021-02-17,25.0
2021-02-18,18.0
2021-02-19,75.0
2021-02-20,50.0
2021-02-21,13.0
2021-02-22,15.0
2021-02-23,166.0
2021-02-24,947.0
2021-02-25,275.0
2021-02-26,174.0
2021-02-27,161.0
2021-02-28,7.0
2021-03-01,7.0
2021-03-02,7.0
2021-03-03,19.0
2021-03-04,135.0
2021-03-05,1271.0
2021-03-06,10.0
2021-03-07,10.0
2021-03-08,10.0
2021-03-09,46.0
2021-03-10,54.0
2021-03-11,43.0
2021-03-12,40.0
2021-03-13,50.0
2021-03-14,19.0
2021-03-15,29.0
2021-03-16,112.0
2021-03-17,558.0
2021-03-18,711.0
2021-03-19,711.0
2021-03-20,711.0
2021-03-21,711.0
2021-03-22,711.0
2021-03-23,711.0
2021-03-24,711.0
2021-03-25,711.0
2021-03-26,711.0
2021-03-27,711.0
2021-03-28,1.0
2021-03-29,11.0
2021-03-30,37.0
2021-03-31,34.0
2021-04-01,11.0
